1;1;1
2;1;2
3;1;3
4;1;4
5;1;5
6;1;6
7;1;7
8;1;8
9;1;9
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;1;16
17;1;17
18;1;18
19;1;19
20;1;20
21;1;21
22;1;22
23;1;23
24;1;24
25;1;25
26;1;26
27;1;27
28;1;28
29;1;29
30;1;30
31;1;31
32;1;32
33;1;33
34;1;34
35;2;35
36;2;36
37;2;37
38;2;38
39;2;39
40;2;40
41;2;41
42;2;42
43;2;43
44;2;44
45;2;45
46;2;46
47;2;47
48;3;48
49;3;49
50;4;50
51;4;51
52;4;52
53;4;53
54;4;54
55;4;55
56;4;56
57;4;57
58;4;58
59;4;59
60;5;60
61;5;61
62;5;62
63;5;63
64;5;64
65;6;65
66;6;66
67;6;67
68;6;68
69;6;69
70;6;70
71;7;71
72;7;72
73;7;73
74;7;74
75;7;75
76;7;76
77;7;77
78;8;78
79;8;79
80;8;80
